排名,歌名,連結,作者,發行日期
1,Seven (feat. Latto) - Explicit Ver.,https://www.kkbox.com/tw/tc/song/Sr0tKWMefJsJh6MESN,"Jung Kook, Latto",2023-07-14
2,I DO,https://www.kkbox.com/tw/tc/song/_anhOGuAAvqjaHybof,(G)I-DLE,2023-07-14
3,pick up the phone,https://www.kkbox.com/tw/tc/song/TYKHhE9lGziN4c48MJ,Henry Moodie,2023-06-23
4,Seven (feat. Latto) - Clean Ver.,https://www.kkbox.com/tw/tc/song/GrQKBwESk9ZkwzgFnm,"Jung Kook, Latto",2023-07-14
5,I Can See You (Taylor’s Version) (From The Vault),https://www.kkbox.com/tw/tc/song/OpBYVicgzUmSZ799xX,Taylor Swift,2023-07-07
6,One More Night,https://www.kkbox.com/tw/tc/song/4nQ9T7nI3TYupVBkD1,G.E.M.,2023-07-10
7,See You Again,https://www.kkbox.com/tw/tc/song/PZKFZQVVfVd6gy-75-,"The Chainsmokers, Illenium, Carlie Hanson",2023-06-23
8,vampire,https://www.kkbox.com/tw/tc/song/4pp-K5UBiO7N5LUar1,Olivia Rodrigo,2023-06-30
9,Do It Like That,https://www.kkbox.com/tw/tc/song/9_J2rR3eL75jLUaqem,"TOMORROW X TOGETHER, Jonas Brothers",2023-07-07
10,Car Keys (Ayla),https://www.kkbox.com/tw/tc/song/8kMNuJS4sZ01NyO_wI,"Alok, Ava Max",2023-06-30
11,Barbie Dreams (feat. Kaliii) [From Barbie The Album],https://www.kkbox.com/tw/tc/song/LYceZBP0B5NioUTqRM,"FIFTY FIFTY, Kaliii",2023-07-06
12,GRL GVNG,https://www.kkbox.com/tw/tc/song/DYfo62s7ri5YRmlqTE,XG,2023-06-30
13,Endless Summer,https://www.kkbox.com/tw/tc/song/0pSt0ZalMinpXd9IUv,"Alan Walker, Zak Abel",2023-07-14
14,Rush,https://www.kkbox.com/tw/tc/song/HaU7dNWFE8K3bL4kmJ,Troye Sivan,2023-07-13
15,"What Was I Made For? [From The Motion Picture ""Barbie""]",https://www.kkbox.com/tw/tc/song/KpzSJ9WUsGgkrruls4,Billie Eilish,2023-07-13
16,Is It Too Soon,https://www.kkbox.com/tw/tc/song/LagT0_-JzEPTgHoAaC,Chris James,2023-06-30
17,Unwanted (feat. Conor Maynard),https://www.kkbox.com/tw/tc/song/8pIbZUJr2c2emgmm43,"Martin Jensen, Sam Feldt, Conor Maynard",2023-06-23
18,Tip Toe,https://www.kkbox.com/tw/tc/song/GqBeNmSPHxj7PjVec0,HYBS,2023-06-20
19,rock hudson,https://www.kkbox.com/tw/tc/song/Orb7BIGlf78HV2b95W,Kelly Clarkson,2023-06-23
20,Overdrive,https://www.kkbox.com/tw/tc/song/4r-8SotwSSJLo1kDpY,Post Malone,2023-07-14
21,like this.,https://www.kkbox.com/tw/tc/song/HYJrHMaIzKb7fk5h7q,Thomas Ng,2023-06-23
22,W4NNA DO,https://www.kkbox.com/tw/tc/song/0t27411AKUfrD577a8,Thomas Headon,2023-06-30
23,Barbie World (with Aqua) [From Barbie The Album],https://www.kkbox.com/tw/tc/song/D_4uAb5KOtw-YTITTL,"Nicki Minaj, Ice Spice & Aqua",2023-06-23
24,Natural,https://www.kkbox.com/tw/tc/song/H_ZuIqqo6JmywNCEpv,Valley,2023-06-23
25,House on a Hill,https://www.kkbox.com/tw/tc/song/-shHHV_zgs1-Bs-1KQ,Eric Nam,2023-06-28
26,If Only I,https://www.kkbox.com/tw/tc/song/LY-zfTP0B5NipbKRkx,"Two Friends, Loud Luxury, & Bebe Rexha",2023-06-23
27,TRAINWRECK,https://www.kkbox.com/tw/tc/song/GowBO4BgV7_OeKPdrr,Anne-Marie,2023-07-05
28,Hell,https://www.kkbox.com/tw/tc/song/5Y7ylum3hYuu3aBjhA,G.E.M.,2023-06-29
29,Copa Vacía,https://www.kkbox.com/tw/tc/song/DaLmqLKZK9m6F27c_r,"Shakira, Manuel Turizo",2023-06-29
30,Nobody's You,https://www.kkbox.com/tw/tc/song/DXa1i6Oig_DL_2aNlw,Dylan Brady,2023-06-30
31,dear god,https://www.kkbox.com/tw/tc/song/D_IBX74qOtw-ZyZH3z,nobody likes you pat,2023-06-30
32,Mess In Me,https://www.kkbox.com/tw/tc/song/8oZaGn-wlULSCBXUO_,"Dru Chen, Rangga Jones, Gentle Bones",2023-06-30
33,Gloria,https://www.kkbox.com/tw/tc/song/Kr3GbbCH6Il0B1fgLu,G.E.M.,2023-06-22
34,Mine (Taylor's Version),https://www.kkbox.com/tw/tc/song/9X5j4ozy3wYrDVOz6E,Taylor Swift,2023-07-07
35,"Eve, Psyche & the Bluebeard’s wife - English Ver.",https://www.kkbox.com/tw/tc/song/4lo5xM0q9Z5EZQY4cp,LE SSERAFIM,2023-07-06
36,Land Of The Heroes,https://www.kkbox.com/tw/tc/song/LXbFzUkRU4Yl6Dih0K,"Alan Walker, Sophie Stray",2023-07-07
37,Celular,https://www.kkbox.com/tw/tc/song/DZzVeai6M7Esrr80Hu,"Nicky Jam, The Chainsmokers, Maluma",2023-07-06
38,Save Me The Trouble,https://www.kkbox.com/tw/tc/song/Gt_916fu-2a5-wb68Y,Dan + Shay,2023-07-14
39,Enchanted (Taylor's Version),https://www.kkbox.com/tw/tc/song/__aSQH1JVATFfzy-2d,Taylor Swift,2023-07-07
40,Summer Too Hot,https://www.kkbox.com/tw/tc/song/-nk4Wvaoz-JyivXCMR,Chris Brown,2023-06-23
41,Supposed To Be a Love Song,https://www.kkbox.com/tw/tc/song/Onby8smbo9axNY4lD-,Anson Seabra,2023-07-14
42,Back To December (Taylor's Version),https://www.kkbox.com/tw/tc/song/DZQM7Fi6M7Esrdxyv8,Taylor Swift,2023-07-07
43,Lucid - English Version,https://www.kkbox.com/tw/tc/song/XZuf8VsZIDECpcedUN,Jeff Satur,2023-06-22
44,In A Perfect World (with Julia Michaels),https://www.kkbox.com/tw/tc/song/GtPHoqfu-2a5_jXrnP,"Dean Lewis, Julia Michaels",2023-06-29
45,Sugar Mommy,https://www.kkbox.com/tw/tc/song/SrrrzfMOfJsJhX9kSF,Crash Adams,2023-07-14
46,Star,https://www.kkbox.com/tw/tc/song/TYkHvM8VGziN71v7Sf,Colde,2023-06-25
47,You & I,https://www.kkbox.com/tw/tc/song/KkpPxT2z5hrtDyoDw5,Rita Ora,2023-07-14
48,Sparks Fly (Taylor’s Version),https://www.kkbox.com/tw/tc/song/CoDEyMM9HOVZgS32AD,Taylor Swift,2023-07-07
49,Stars,https://www.kkbox.com/tw/tc/song/9-HI9BdfF6qQ2ciK3B,"PNAU, Bebe Rexha, Ozuna",2023-06-30
50,Suite Life (Familiar) - Bonus Track,https://www.kkbox.com/tw/tc/song/4nBH35nI3TYuoJBWuE,"FLO, Bellah, Bellah",2023-07-07
